work_ye21,2peri0ce_2eve2,e132oy10t_type,job_t172e,53221y,53221y_curr0cy,53221y_6_0,e132oy40_r14390ce,re1ote_r49io,co1pany_2o9tion,co1pany_24ze
2022,0,0,0,63000,0,63000,0,50,0,0
2022,1,0,1,70000,0,70000,0,0,0,1
2022,2,0,13,315000,0,315000,0,100,0,2
2022,3,0,38,85000,0,85000,0,100,0,2
2022,2,0,2,290000,0,290000,0,100,0,2
2021,2,0,2,232000,0,232000,0,100,0,2
2022,2,0,2,244000,0,244000,0,100,0,2
2022,0,0,7,72000,0,72000,0,100,0,2
2022,1,0,33,152000,0,152000,0,0,0,1
2022,1,0,30,115000,0,115000,0,100,0,2
2022,0,0,16,52000,0,52000,0,100,0,2
2022,3,0,12,110000,0,110000,0,0,0,2
2022,0,0,42,104000,0,104000,0,100,0,2
2021,0,0,42,75000,0,75000,0,0,0,1
2022,3,0,8,190000,0,190000,0,100,0,2
2022,1,0,22,97900,0,97900,0,50,0,2
2022,1,0,22,135000,0,135000,0,50,0,2
2022,3,0,8,108000,0,108000,0,100,0,2
2022,0,0,7,50000,0,50000,0,0,0,0
2022,1,0,9,130000,0,130000,0,0,0,1
2022,1,0,9,120000,0,120000,0,0,0,1
2022,3,0,9,207000,0,207000,0,100,0,1
2022,3,0,4,98000,0,98000,0,50,0,2
2022,3,0,9,176080,0,176080,0,100,0,1
2022,3,0,9,226400,0,226400,0,100,0,2
2022,3,0,24,145000,0,145000,0,100,0,2
2022,0,0,83,50000,0,50000,0,100,0,2
2022,3,0,9,181940,0,181940,0,100,0,1
2022,3,0,9,186000,0,186000,0,100,0,1
2022,3,0,9,148800,0,148800,0,100,0,1
2022,3,0,31,252000,0,252000,0,100,0,1
2022,3,0,31,145000,0,145000,0,100,0,1
2022,2,0,19,236000,0,236000,0,100,0,2
2022,3,0,9,132320,0,132320,0,100,0,1
2022,2,0,15,180000,0,180000,0,100,0,2
2022,3,0,54,250600,0,250600,0,100,0,1
2022,3,0,9,105800,0,105800,0,100,0,1
2022,3,0,9,81600,0,81600,0,100,0,1
