id,work_year,3peri0ce_0eve0,e114oy10t_type,job_t270e,2a0ary,2a0ary_curr0cy,2a0ary_6_1,e114oyee_r7i5nce,re1ote_r3io,co1pany_0o0tion,co1pany_32ze
152,2021,1,0,0,95000,8,75774,0,100,0,0
499,2022,0,0,0,66500,8,52396,0,100,0,0
155,2021,2,0,40,159500,8,127221,0,50,0,0
29,2020,2,0,48,157000,8,117104,0,50,0,0
106,2021,1,0,20,235000,8,187442,0,100,0,0
520,2022,1,0,0,88000,8,69336,0,100,0,1
360,2022,2,0,5,130000,1,130000,0,100,0,1
363,2022,2,0,5,61300,1,61300,0,100,0,1
530,2022,1,0,5,85000,1,85000,0,0,0,1
531,2022,1,0,5,75000,1,75000,0,0,0,1
255,2021,2,0,25,125000,8,99703,0,50,0,1
451,2022,1,0,27,100000,8,78791,0,100,0,1
226,2021,2,0,0,110000,8,87738,0,100,0,2
375,2022,3,0,8,150000,8,118187,0,100,0,2
488,2022,1,1,0,100000,1,100000,0,100,1,1
224,2021,2,0,1,225000,1,225000,1,100,0,0
48,2020,1,0,0,105000,1,105000,1,100,1,0
58,2020,2,0,0,120000,1,120000,1,50,1,0
63,2020,2,0,0,412000,1,412000,1,100,1,0
243,2021,2,0,0,165000,1,165000,1,100,1,0
250,2021,1,0,0,115000,1,115000,1,50,1,0
260,2021,1,0,0,130000,1,130000,1,50,1,0
276,2021,0,0,0,58000,1,58000,1,50,1,0
287,2021,1,0,0,109000,1,109000,1,50,1,0
324,2022,2,0,0,120000,1,120000,1,0,1,0
398,2022,2,0,0,215300,1,215300,1,100,1,0
428,2022,2,0,0,140400,1,140400,1,0,1,0
524,2022,1,0,0,135000,1,135000,1,100,1,0
550,2022,2,0,0,205300,1,205300,1,0,1,0
551,2022,2,0,0,140400,1,140400,1,0,1,0
419,2022,1,0,1,160000,1,160000,1,100,1,0
420,2022,1,0,1,112300,1,112300,1,100,1,0
31,2020,0,0,2,70000,1,70000,1,100,1,0
4,2020,2,0,4,150000,1,150000,1,50,1,0
37,2020,0,0,4,250000,1,250000,1,50,1,0
100,2021,1,0,5,75000,1,75000,1,0,1,0
140,2021,1,0,5,135000,1,135000,1,100,1,0
233,2021,2,0,5,200000,1,200000,1,100,1,0
241,2021,1,0,5,80000,1,80000,1,100,1,0
254,2021,1,0,5,93000,1,93000,1,100,1,0
28,2020,0,2,7,100000,1,100000,1,100,1,0
93,2021,2,0,8,276000,1,276000,1,0,1,0
88,2021,2,0,9,170000,1,170000,1,100,1,0
43,2020,1,0,10,106000,1,106000,1,100,1,0
47,2020,2,0,10,188000,1,188000,1,100,1,0
81,2021,1,0,10,140000,1,140000,1,100,1,0
101,2021,2,0,10,150000,1,150000,1,100,1,0
119,2021,1,0,10,200000,1,200000,1,100,1,0
144,2021,1,0,10,100000,1,100000,1,100,1,0
147,2021,1,0,10,90000,1,90000,1,100,1,0
256,2021,1,0,10,200000,1,200000,1,100,1,0
270,2021,0,0,10,72500,1,72500,1,100,1,0
280,2021,1,0,10,112000,1,112000,1,100,1,0
407,2022,2,0,10,183600,1,183600,1,100,1,0
426,2022,2,0,10,100800,1,100800,1,100,1,0
446,2022,2,0,10,209100,1,209100,1,100,1,0
169,2021,1,0,12,150000,1,150000,1,100,1,0
234,2021,1,0,12,180000,1,180000,1,100,1,0
219,2021,2,0,13,140000,1,140000,1,100,1,0
509,2022,1,0,15,157000,1,157000,1,100,1,0
523,2022,2,0,16,405000,1,405000,1,100,1,0
148,2021,2,0,17,153000,1,153000,1,100,1,0
175,2021,2,0,17,174000,1,174000,1,100,1,0
157,2021,1,0,23,423000,1,423000,1,50,1,0
87,2021,1,0,33,110000,1,110000,1,100,1,0
36,2020,1,0,38,103000,1,103000,1,100,1,0
165,2021,2,0,41,165000,1,165000,1,100,1,0
25,2020,3,0,22,325000,1,325000,1,100,1,0
461,2022,0,0,45,100000,1,100000,1,50,1,0
125,2021,1,0,29,151000,1,151000,1,100,1,0
138,2021,2,0,29,220000,1,220000,1,0,1,0
173,2021,2,0,29,235000,1,235000,1,100,1,0
252,2021,3,0,31,600000,1,600000,1,100,1,0
508,2022,0,0,20,120000,1,120000,1,100,1,0
57,2020,1,0,0,118000,1,118000,1,100,1,1
59,2020,1,0,0,138350,1,138350,1,100,1,1
275,2021,0,0,0,100000,1,100000,1,100,1,1
292,2022,1,0,0,130000,1,130000,1,0,1,1
298,2022,2,0,0,136620,1,136620,1,100,1,1
302,2022,2,0,0,146000,1,146000,1,100,1,1
315,2022,2,0,0,165220,1,165220,1,100,1,1
352,2022,2,0,0,167000,1,167000,1,100,1,1
357,2022,2,0,0,211500,1,211500,1,100,1,1
369,2022,2,0,0,170000,1,170000,1,100,1,1
370,2022,2,0,0,123000,1,123000,1,100,1,1
423,2022,2,0,0,180000,1,180000,1,0,1,1
424,2022,2,0,0,80000,1,80000,1,0,1,1
469,2022,2,0,0,140000,1,140000,1,100,1,1
472,2022,2,0,0,220000,1,220000,1,100,1,1
486,2022,2,0,0,230000,1,230000,1,100,1,1
497,2022,2,0,0,165000,1,165000,1,100,1,1
526,2022,1,0,0,78000,1,78000,1,100,1,1
539,2022,1,0,0,102100,1,102100,1,0,1,1
558,2022,2,0,0,205300,1,205300,1,0,1,1
559,2022,2,0,0,140400,1,140400,1,0,1,1
569,2022,2,0,0,140000,1,140000,1,100,1,1
575,2022,2,0,0,140000,1,140000,1,100,1,1
593,2022,2,0,0,150000,1,150000,1,100,1,1
596,2022,2,0,0,210000,1,210000,1,100,1,1
599,2022,1,0,0,130000,1,130000,1,100,1,1
495,2022,1,0,1,153000,1,153000,1,50,1,1
438,2022,2,0,4,189650,1,189650,1,0,1,1
439,2022,2,0,4,164996,1,164996,1,0,1,1
485,2022,2,0,4,120000,1,120000,1,100,1,1
291,2022,2,0,5,120600,1,120600,1,100,1,1
306,2022,2,0,5,116000,1,116000,1,0,1,1
307,2022,1,0,5,106260,1,106260,1,0,1,1
308,2022,1,0,5,126500,1,126500,1,0,1,1
328,2022,2,0,5,170000,1,170000,1,100,1,1
329,2022,1,0,5,115500,1,115500,1,100,1,1
331,2022,2,0,5,90320,1,90320,1,100,1,1
332,2022,2,0,5,112900,1,112900,1,100,1,1
338,2022,2,0,5,136600,1,136600,1,100,1,1
339,2022,2,0,5,109280,1,109280,1,100,1,1
349,2022,2,0,5,135000,1,135000,1,100,1,1
376,2022,2,0,5,132000,1,132000,1,0,1,1
383,2022,2,0,5,93700,1,93700,1,100,1,1
387,2022,2,0,5,164000,1,164000,1,0,1,1
392,2022,2,0,5,112900,1,112900,1,100,1,1
402,2022,2,0,5,115934,1,115934,1,0,1,1
527,2022,2,0,5,135000,1,135000,1,100,1,1
536,2022,2,0,5,112900,1,112900,1,100,1,1
541,2022,2,0,5,81666,1,81666,1,100,1,1
548,2022,2,0,5,99050,1,99050,1,100,1,1
564,2022,2,0,5,116150,1,116150,1,100,1,1
572,2022,2,0,5,100000,1,100000,1,100,1,1
577,2022,2,0,5,150075,1,150075,1,100,1,1
580,2022,2,0,5,126500,1,126500,1,100,1,1
581,2022,2,0,5,106260,1,106260,1,100,1,1
584,2022,2,0,5,105000,1,105000,1,100,1,1
585,2022,2,0,5,110925,1,110925,1,100,1,1
589,2022,2,0,5,60000,1,60000,1,100,1,1
597,2022,2,0,5,170000,1,170000,1,100,1,1
266,2021,1,0,10,93150,1,93150,1,0,1,1
294,2022,1,0,10,170000,1,170000,1,100,1,1
309,2022,3,0,10,242000,1,242000,1,100,1,1
310,2022,3,0,10,200000,1,200000,1,100,1,1
319,2022,2,0,10,181940,1,181940,1,0,1,1
320,2022,2,0,10,132320,1,132320,1,0,1,1
321,2022,2,0,10,220110,1,220110,1,0,1,1
322,2022,2,0,10,160080,1,160080,1,0,1,1
334,2022,2,0,10,165400,1,165400,1,100,1,1
337,2022,2,0,10,243900,1,243900,1,100,1,1
340,2022,2,0,10,128875,1,128875,1,100,1,1
366,2022,2,0,10,136000,1,136000,1,0,1,1
377,2022,2,0,10,165400,1,165400,1,100,1,1
