A1; A2; A3; A4; A5; A6; A7; A8; A9; A10; A11; A12; A13; A14; A15; A16; A17; A18; A19; A20; Class
-12.036;-26.240; 0.5963;13.859;-13.597; 0.6758;10.008; -0.9589;-13.487; -0.5572; -0.4398;-11.223; -0.1817;-13.170; -0.3551;-14.220; 0.1983;-30.514;-10.650; -0.8541;1
 0.1713; -0.1669; -0.4155; -0.9974; -0.9459;-12.382;-14.933; -0.3869; 0.6450; -0.6253; -0.9652;-24.557; -0.5912; -0.9731;-16.570;-20.039;-13.395;-11.801;13.244; 0.0202;1
 0.7743; -0.6060;-19.338; -0.3614; 0.3864;-18.636;-14.551;-12.079; -0.5478;-11.045; -0.3664; 0.5462; -0.2295;-16.227; 0.6551;-11.460; 0.9491;-27.570;-11.497; 0.0191;1
-12.444;10.990;-14.684;-17.003; 0.4510; -0.9695; -0.5761; 0.0877; 0.1058;-19.614;18.583; -0.8800;10.000;-17.560; -0.6727; 0.6034; -0.6858; -0.9101; 0.0747;11.082;1
-0.5520; 0.3249; 0.7253; 0.2089; 0.3148; -0.2104; 0.8060; -0.3111;-23.584;14.880; 0.2229; 0.9096; -0.0908; -0.4096;15.287; -0.1960; 0.3843; 0.1541; -0.2981; 0.5216;1
-12.134; 0.8617; 0.7827; 0.5640; -0.3546; -0.0342; 0.3899; -0.8766; -0.6859; -0.4462;11.027; 0.6983;34.860; 0.5943; -0.4158; 0.7896; -0.1984;18.550;18.184; -0.2744;0
12.607; -0.7137; 0.9245; 0.8836; 0.4869;11.245; -0.0184; 0.3317; 0.2288;17.455;12.481; 0.1460;13.300;11.284; 0.3843;13.088; -0.9301;19.651; 0.4680; 0.2707;0
-22.536; -0.6792; -0.4980; 0.4076; -0.4197; 0.0740; -0.6893; 0.9826;11.957;-11.959; 0.8036; -0.3695; -0.1974; -0.8254;-14.248; 0.0812;-12.324; 0.9745;-21.115; -0.4450;1
-0.7537;-14.473; 0.4404;10.775; 0.1087; 0.2250; -0.6401;-22.915;17.196;11.263; 0.5076; -0.4196; -0.1665;-18.475;-17.144; -0.6456;-17.109;-12.593;-15.080; 0.7579;1
-14.365; 0.5020; -0.2387; -0.2735;-12.329; -0.2054;10.827;-15.309; 0.4351;11.018;-23.184; 0.6757; -0.9876; 0.1904; -0.9548; 0.5906;-10.150;-12.867; -0.1920; 0.3759;1
12.268; -0.4586;-19.072;-20.096; -0.8821;-11.491; 0.7732; 0.4413;-20.609; 0.2918; -0.1957; 0.0051;10.733; -0.4977; 0.3324;-10.612; 0.4215; -0.7298; 0.2584; 0.4489;1
-0.6421;12.597;11.962; 0.8457; 0.9736;12.865; 0.3038; 0.1019;28.203; -0.3667;18.319;15.014;19.451; -0.3823; -0.6084; 0.2132; -0.9558; -0.0103; 0.7390; -0.0683;0
-0.1027; -0.7236;-17.199; -0.1783;-13.352;-15.999; -0.7337; 0.0451; -0.7099;-10.377; -0.7889; -0.0449;10.685;-15.979;-10.625;12.622; -0.0672; -0.5987; -0.5343; 0.2151;1
 0.9359; 0.5244; 0.1965; -0.4045;19.369; -0.6769;-12.864;11.142; 0.7927;18.205; 0.8902;15.043; -0.4077;21.274; 0.6354;13.877; 0.5334;17.521; -0.8859; -0.0785;0
-11.085; 0.8295;-10.473;-15.558; 0.6791; -0.0202;-15.196; 0.4485;13.138; -0.9154;-10.799;-13.414; 0.6303; -0.1300; -0.1113; 0.0918; -0.6247; -0.0280; -0.6141;-13.867;1
15.553; -0.3206; 0.4814;10.857;30.023; 0.1437; -0.0528; 0.9334; 0.2056;15.801; 0.6177;22.037;23.668;20.443; -0.8073; 0.3740; -0.8872;27.925;17.735; -0.1087;0
-16.787;-17.165;-17.605; -0.7118; -0.9282;-10.667; -0.3491; -0.7272;-17.985; -0.5027; 0.5124; -0.5739;12.052; 0.8229;10.856; -0.0754; -0.3115; -0.8571;-28.611; -0.4501;1
 0.2844; -0.1248; 0.1826; 0.3626; 0.6639; -0.6476; 0.7213; 0.4483;19.412;24.296;-11.987;20.342;-10.615;24.175; 0.7084;15.081; 0.2530; 0.1893; 0.8597; -0.2967;0
10.426; 0.4441; 0.3567; 0.1268;14.626;13.269; 0.9125;11.206; -0.0606;12.063;26.698; -0.2527; -0.1471; 0.5257;11.777; -0.6529; -0.7953; 0.7179; -0.0444;16.203;0
 0.8624; 0.0417;16.588; -0.5310;11.934; -0.9874;15.866;10.404; -0.9764; -0.5752;23.094;18.289; -0.3514; 0.6058; 0.6665; -0.1324;10.751; -0.0934;10.898; -0.1355;0
 0.7522; -0.1899; 0.5606; 0.3304; -0.1008;14.079; -0.5027; -0.4840; 0.1268; -0.4863;-10.110;-12.447; -0.6688; -0.1173; -0.4243; -0.5565; -0.7752;18.749; 0.7594;23.512;0
 0.0851; -0.7642; 0.3038; 0.8198;-11.173;-12.455;-17.079; -0.5012; -0.0337; -0.2093; -0.9198; -0.1980; -0.9364;-18.025; -0.1358;-19.476; -0.9519; -0.7416; -0.3441; 0.5475;1
-0.8383; 0.8137; 0.9494; 0.8314; 0.5936;11.151; 0.9251;15.443; 0.8492;13.108; 0.4829;23.490;25.981; 0.6158;27.643; 0.4744;-16.729; 0.7613; 0.9569; 0.6351;0
16.971; -0.5382; 0.4609; -0.4952;12.847;-11.886;11.339; -0.9486;13.676;16.010;12.129; 0.2130; 0.7559;13.912; 0.2784;-13.001; -0.4163;11.609; -0.4601; 0.1687;0
11.490; 0.9633; 0.3777; -0.2037; -0.6592;12.039;29.136; 0.5674;14.107; 0.7222; -0.3375;14.807; -0.9807;16.085; 0.9985; 0.2475;12.408;15.107; -0.1500; 0.1237;0
-19.511; 0.2898; -0.9682; -0.9885; -0.6495; 0.4074; -0.3070; 0.3553; -0.2402; -0.8768; -0.0612;-19.158;-10.668; -0.9470;10.030;-13.164; 0.1256;-30.595; -0.9652;12.911;1
-20.902; 0.2826; 0.5311; 0.8906; 0.0398;13.351; 0.2743; 0.0971;15.402;10.910; 0.6988;17.509; -0.6202;-17.052; 0.6244;13.328; -0.1070;14.325; 0.5133;12.073;0
 0.3460; -0.8469; 0.3073; -0.5167;11.393;13.568; 0.9330;11.374; -0.9421; 0.4421;29.961; -0.1589; 0.8809; 0.2865; -0.0080; -0.9432; 0.6535;29.132; -0.1082;-20.434;0
 0.7075; 0.3998; -0.0818; -0.8427; 0.2437;20.538; 0.2150;13.763;-13.050; -0.2033; 0.2700;-11.172; -0.4084;-11.397; 0.5500; -0.5076; -0.4972; 0.8860;23.787;10.751;0
