num,age,sexe,sit1am,principal,voiture,velo,commun,revenu
1,25,0,1,1,0,1,0,1200
2,29,1,1,3,1,0,1,1330
3,35,1,3,1,1,0,0,1850
7,33,0,3,3,0,1,1,2210
8,22,0,9,4,1,0,0,1550
11,25,0,1,1,0,1,0,1400
12,29,1,1,1,1,0,0,1350
13,35,1,3,2,1,0,0,1550
17,33,0,3,1,0,1,1,1940
19,21,1,3,1,1,0,0,1240
20,38,1,2,3,1,1,0,1950
22,32,0,3,1,0,1,1,1860
27,28,1,3,3,1,0,1,1800
31,48,1,4,1,0,1,0,2700
36,33,1,2,3,1,0,1,1160
37,46,1,2,1,0,0,1,3200
38,37,0,1,3,0,1,0,2250
39,28,1,1,1,1,0,1,1550
40,48,0,3,1,0,1,1,1370
41,38,0,1,4,0,1,0,1350
42,25,1,1,4,1,0,0,1550
43,29,1,3,3,1,0,1,1120
44,35,1,2,3,0,0,1,2100
45,19,1,3,1,1,0,1,2200
46,42,1,2,1,1,0,1,2510
47,45,1,2,3,0,0,1,1600
48,33,0,1,2,0,1,0,1230
49,22,1,1,1,1,0,1,1320
50,23,0,9,3,1,0,0,1890
