id;work_year;3peri0ce_0eve0;e114oy10t_type;job_t270e;2a0ary;2a0ary_curr0cy;2a0ary_6_1;e114oyee_r7i5nce;re1ote_r3io;co1pany_0o0tion;co1pany_32ze
152;2021;1;0;0;95000;8;75774;0;100;0;0
240;2021;2;0;0;130000;8;103691;0;100;0;0
499;2022;0;0;0;66500;8;52396;0;100;0;0
511;2022;1;0;7;90000;8;70912;0;50;0;0
155;2021;2;0;40;159500;8;127221;0;50;0;0
452;2022;3;0;22;250000;8;196979;0;50;0;0
29;2020;2;0;48;157000;8;117104;0;50;0;0
106;2021;1;0;20;235000;8;187442;0;100;0;0
194;2021;2;0;20;120500;8;96113;0;50;0;0
520;2022;1;0;0;88000;8;69336;0;100;0;1
229;2021;2;0;5;90000;8;71786;0;100;0;1
360;2022;2;0;5;130000;1;130000;0;100;0;1
361;2022;2;0;5;61300;1;61300;0;100;0;1
362;2022;2;0;5;130000;1;130000;0;100;0;1
363;2022;2;0;5;61300;1;61300;0;100;0;1
530;2022;1;0;5;85000;1;85000;0;0;0;1
531;2022;1;0;5;75000;1;75000;0;0;0;1
600;2022;0;0;5;67000;1;67000;0;0;0;1
601;2022;0;0;5;52000;1;52000;0;0;0;1
358;2022;2;0;12;192400;1;192400;0;100;0;1
359;2022;2;0;12;90700;1;90700;0;100;0;1
255;2021;2;0;25;125000;8;99703;0;50;0;1
451;2022;1;0;27;100000;8;78791;0;100;0;1
493;2022;2;0;27;100000;8;78791;0;100;0;1
236;2021;1;0;20;80000;8;63810;0;100;0;1
226;2021;2;0;0;110000;8;87738;0;100;0;2
375;2022;3;0;8;150000;8;118187;0;100;0;2
491;2022;1;0;32;75000;1;75000;0;100;0;2
488;2022;1;1;0;100000;1;100000;0;100;1;1
224;2021;2;0;1;225000;1;225000;1;100;0;0
48;2020;1;0;0;105000;1;105000;1;100;1;0
58;2020;2;0;0;120000;1;120000;1;50;1;0
63;2020;2;0;0;412000;1;412000;1;100;1;0
104;2021;1;0;0;73000;1;73000;1;0;1;0
195;2021;1;0;0;147000;1;147000;1;50;1;0
204;2021;1;0;0;160000;1;160000;1;100;1;0
228;2021;2;0;0;135000;1;135000;1;0;1;0
243;2021;2;0;0;165000;1;165000;1;100;1;0
250;2021;1;0;0;115000;1;115000;1;50;1;0
260;2021;1;0;0;130000;1;130000;1;50;1;0
276;2021;0;0;0;58000;1;58000;1;50;1;0
287;2021;1;0;0;109000;1;109000;1;50;1;0
323;2022;2;0;0;180000;1;180000;1;0;1;0
324;2022;2;0;0;120000;1;120000;1;0;1;0
398;2022;2;0;0;215300;1;215300;1;100;1;0
399;2022;2;0;0;158200;1;158200;1;100;1;0
428;2022;2;0;0;140400;1;140400;1;0;1;0
444;2022;2;0;0;215300;1;215300;1;0;1;0
524;2022;1;0;0;135000;1;135000;1;100;1;0
550;2022;2;0;0;205300;1;205300;1;0;1;0
551;2022;2;0;0;140400;1;140400;1;0;1;0
115;2021;0;0;1;225000;1;225000;1;100;1;0
419;2022;1;0;1;160000;1;160000;1;100;1;0
420;2022;1;0;1;112300;1;112300;1;100;1;0
31;2020;0;0;2;70000;1;70000;1;100;1;0
4;2020;2;0;4;150000;1;150000;1;50;1;0
37;2020;0;0;4;250000;1;250000;1;50;1;0
206;2021;2;0;4;200000;1;200000;1;100;1;0
258;2021;2;0;4;185000;1;185000;1;50;1;0
5;2020;0;0;5;72000;1;72000;1;100;1;0
14;2020;1;0;5;85000;1;85000;1;100;1;0
51;2020;0;0;5;91000;1;91000;1;100;1;0
100;2021;1;0;5;75000;1;75000;1;0;1;0
103;2021;1;0;5;62000;1;62000;1;0;1;0
140;2021;1;0;5;135000;1;135000;1;100;1;0
233;2021;2;0;5;200000;1;200000;1;100;1;0
241;2021;1;0;5;80000;1;80000;1;100;1;0
254;2021;1;0;5;93000;1;93000;1;100;1;0
8;2020;1;0;7;135000;1;135000;1;100;1;0
28;2020;0;2;7;100000;1;100000;1;100;1;0
93;2021;2;0;8;276000;1;276000;1;0;1;0
13;2020;1;0;9;87000;1;87000;1;100;1;0
88;2021;2;0;9;170000;1;170000;1;100;1;0
43;2020;1;0;10;106000;1;106000;1;100;1;0
47;2020;2;0;10;188000;1;188000;1;100;1;0
60;2020;1;0;10;110000;1;110000;1;100;1;0
81;2021;1;0;10;140000;1;140000;1;100;1;0
101;2021;2;0;10;150000;1;150000;1;100;1;0
119;2021;1;0;10;200000;1;200000;1;100;1;0
144;2021;1;0;10;100000;1;100000;1;100;1;0
147;2021;1;0;10;90000;1;90000;1;100;1;0
166;2021;0;0;10;80000;1;80000;1;100;1;0
242;2021;1;0;10;110000;1;110000;1;100;1;0
256;2021;1;0;10;200000;1;200000;1;100;1;0
270;2021;0;0;10;72500;1;72500;1;100;1;0
280;2021;1;0;10;112000;1;112000;1;100;1;0
348;2022;2;0;10;113000;1;113000;1;0;1;0
364;2022;2;0;10;160000;1;160000;1;0;1;0
400;2022;2;0;10;209100;1;209100;1;100;1;0
401;2022;2;0;10;154600;1;154600;1;100;1;0
407;2022;2;0;10;183600;1;183600;1;100;1;0
426;2022;2;0;10;100800;1;100800;1;100;1;0
446;2022;2;0;10;209100;1;209100;1;100;1;0
447;2022;2;0;10;154600;1;154600;1;100;1;0
169;2021;1;0;12;150000;1;150000;1;100;1;0
170;2021;1;0;12;170000;1;170000;1;100;1;0
234;2021;1;0;12;180000;1;180000;1;100;1;0
209;2021;2;0;13;120000;1;120000;1;0;1;0
219;2021;2;0;13;140000;1;140000;1;100;1;0
509;2022;1;0;15;157000;1;157000;1;100;1;0
519;2022;2;0;15;380000;1;380000;1;100;1;0
525;2022;2;0;15;177000;1;177000;1;100;1;0
523;2022;2;0;16;405000;1;405000;1;100;1;0
142;2021;2;0;17;150000;1;150000;1;0;1;0
148;2021;2;0;17;153000;1;153000;1;100;1;0
175;2021;2;0;17;174000;1;174000;1;100;1;0
157;2021;1;0;23;423000;1;423000;1;50;1;0
87;2021;1;0;33;110000;1;110000;1;100;1;0
36;2020;1;0;38;103000;1;103000;1;100;1;0
141;2021;2;0;37;240000;1;240000;1;0;1;0
154;2021;2;0;37;144000;1;144000;1;100;1;0
193;2021;2;0;37;174000;1;174000;1;100;1;0
165;2021;2;0;41;165000;1;165000;1;100;1;0
232;2021;2;0;42;200000;1;200000;1;100;1;0
25;2020;3;0;22;325000;1;325000;1;100;1;0
167;2021;3;0;22;250000;1;250000;1;0;1;0
